protein	logFC	AveExpr	t	P.Value	adj.P.Val	B	significant	ngood	query	name	symbol
Q9NYB0	-1.1068869578431	-1.10688695784309	-13.3336273147144	0.000396877763571532	0.0353690915776912	1.13700040655389	TRUE	3	Q9NYB0	Telomeric repeat-binding factor 2-interacting protein 1 (TERF2-interacting telomeric protein 1) (TRF2-interacting telomeric protein 1) (Dopamine receptor-interacting protein 5) (Repressor/activator protein 1 homolog) (RAP1 homolog) (hRap1)	TERF2IP
P42126	-0.612729896865056	-0.612729896865056	-12.8086073221048	0.000455820764113523	0.0353690915776912	0.99873338867914	TRUE	3	P42126	Enoyl-CoA delta isomerase 1, mitochondrial (EC 5.3.3.8) (3,2-trans-enoyl-CoA isomerase) (Delta(3),Delta(2)-enoyl-CoA isomerase) (D3,D2-enoyl-CoA isomerase) (Dodecenoyl-CoA isomerase)	ECI1
O00767	4.1808253275162	4.1808253275162	12.6940824164589	0.000470141201038303	0.0353690915776912	0.967527283629902	TRUE	3	O00767	Stearoyl-CoA desaturase (hSCD1) (EC 1.14.19.1) (Acyl-CoA desaturase) (Delta(9)-desaturase) (Delta-9 desaturase) (Fatty acid desaturase)	SCD
P80723	-0.68833160598004	-0.68833160598004	-12.2192139867804	0.000536054504775885	0.0353690915776912	0.833920259389238	TRUE	3	P80723	Brain acid soluble protein 1 (22 kDa neuronal tissue-enriched acidic protein) (Neuronal axonal membrane protein NAP-22)	BASP1
G5E975	0.402275503355952	0.402275503355952	12.198275655398	0.000539225262545397	0.0353690915776912	0.827868151075485	TRUE	3	G5E975	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	SMARCB1
Q13409	-0.458120054420416	-0.458120054420416	-12.0133652815095	0.000568296243110475	0.0353690915776912	0.773810550597529	TRUE	3	Q13409	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)	DYNC1I2
P09104	-0.592662451678552	-0.592662451678552	-11.926263757382	0.000582685192116516	0.0353690915776912	0.747961416169223	TRUE	3	P09104	Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)	ENO2
Q99536	-0.37888696722116	-0.37888696722116	-11.919500691223	0.000583821840495207	0.0353690915776912	0.745943867776217	TRUE	3	Q99536	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	VAT1
Q14195	-0.422290223911924	-0.422290223911924	-11.8646143697956	0.000593152188201349	0.0353690915776912	0.72951402066837	TRUE	3	Q14195	Dihydropyrimidinase-related protein 3 (DRP-3) (Collapsin response mediator protein 4) (CRMP-4) (Unc-33-like phosphoprotein 1) (ULIP-1)	DPYSL3
P20336	-0.781865330830221	-0.781865330830221	-11.8498081486664	0.000595701783901307	0.0353690915776912	0.725064663184499	TRUE	3	P20336	Ras-related protein Rab-3A	RAB3A
O43854	-0.691332165796455	-0.691332165796455	-11.813361258515	0.000602037862943189	0.0353690915776912	0.714080823048631	TRUE	3	O43854	EGF-like repeat and discoidin I-like domain-containing protein 3 (Developmentally-regulated endothelial cell locus 1 protein) (Integrin-binding protein DEL1)	EDIL3
Q7L775	-0.483840699923436	-0.483840699923436	-11.634800923401	0.000634356772609565	0.0353690915776912	0.659617367336335	TRUE	3	Q7L775	EPM2A-interacting protein 1 (Laforin-interacting protein)	EPM2AIP1
E7EPB3	0.574274864420679	0.574274864420679	11.5223814935547	0.00065584839550253	0.0353690915776912	0.624763384545016	TRUE	3	E7EPB3	Large ribosomal subunit protein eL14 (60S ribosomal protein L14)	RPL14
P11047	-1.18540997211311	-1.18540997211311	-11.3534494368236	0.000689927688247095	0.0353690915776912	0.571548812359519	TRUE	3	P11047	Laminin subunit gamma-1 (Laminin B2 chain) (Laminin-1 subunit gamma) (Laminin-10 subunit gamma) (Laminin-11 subunit gamma) (Laminin-2 subunit gamma) (Laminin-3 subunit gamma) (Laminin-4 subunit gamma) (Laminin-6 subunit gamma) (Laminin-7 subunit gamma) (Laminin-8 subunit gamma) (Laminin-9 subunit gamma) (S-laminin subunit gamma) (S-LAM gamma)	LAMC1
G3V2E7	-0.397910667933346	-0.397910667933346	-11.3502962400952	0.000690585075932898	0.0353690915776912	0.570545809344289	TRUE	3	G3V2E7	Kinesin light chain	KLC1
Q92616	0.682195632388938	0.682195632388937	11.161707358798	0.000731403363937236	0.0353690915776912	0.509896868706808	TRUE	3	Q92616	Stalled ribosome sensor GCN1 (GCN1 eIF-2-alpha kinase activator homolog) (GCN1-like protein 1) (General control of amino-acid synthesis 1-like protein 1) (Translational activator GCN1) (HsGCN1)	GCN1
O15400	-0.41642045018372	-0.41642045018372	-11.1597245535372	0.000731848692510942	0.0353690915776912	0.509252238840059	TRUE	3	O15400	Syntaxin-7	STX7
E9PD68	-0.361180638551989	-0.361180638551988	-11.0741641840624	0.000751399954967445	0.0353690915776912	0.48129547172724	TRUE	3	E9PD68	Collapsin response mediator protein 1	CRMP1
P15880	0.358216260326141	0.358216260326141	11.0326843259384	0.000761118917228746	0.0353690915776912	0.467642635555213	TRUE	3	P15880	Small ribosomal subunit protein uS5 (40S ribosomal protein S2) (40S ribosomal protein S4) (Protein LLRep3)	RPS2
P13861	-0.38101625777722	-0.38101625777722	-11.0216675271715	0.000763727194844589	0.0353690915776912	0.464005543328244	TRUE	3	P13861	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A
Q9NQC3	-0.394555698914785	-0.394555698914785	-10.8742371220953	0.000799757637117061	0.0353690915776912	0.41488447735622	TRUE	3	Q9NQC3	Reticulon-4 (Foocen) (Neurite outgrowth inhibitor) (Nogo protein) (Neuroendocrine-specific protein) (NSP) (Neuroendocrine-specific protein C homolog) (RTN-x) (Reticulon-5)	RTN4
P62820	0.396049205548092	0.396049205548092	10.8621937036493	0.000802796059767828	0.0353690915776912	0.410834638878804	TRUE	3	P62820	Ras-related protein Rab-1A (EC 3.6.5.2) (YPT1-related protein)	RAB1A
Q92522	0.370879950863006	0.370879950863005	10.8211314321822	0.00081326720693144	0.0353690915776912	0.396983948569734	TRUE	3	Q92522	Histone H1.10 (Histone H1x)	H1-10
P78310	-0.428591425514929	-0.428591425514929	-10.8114980449592	0.000815749031515441	0.0353690915776912	0.393724924228965	TRUE	3	P78310	Coxsackievirus and adenovirus receptor (CAR) (hCAR) (CVB3-binding protein) (Coxsackievirus B-adenovirus receptor) (HCVADR)	CXADR
Q8N257	0.34633311406161	0.34633311406161	10.7134894909278	0.000841557628374264	0.0353690915776912	0.360359248087851	TRUE	3	Q8N257	Histone H2B type 3-B (H2B type 12) (H2B-clustered histone 26) (H2B.U histone 1)	H2BC26
P48449	0.343824007171877	0.343824007171877	10.7113922201092	0.000842121228040266	0.0353690915776912	0.359641079292922	TRUE	3	P48449	Lanosterol synthase (EC 5.4.99.7) (2,3-epoxysqualene--lanosterol cyclase) (Oxidosqualene--lanosterol cyclase) (OSC) (hOSC)	LSS
P04792	-0.892915791317629	-0.892915791317629	-19.2868375289504	0.000866036700263434	0.0354642028757876	0.368125997237502	TRUE	2	P04792	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Stress-responsive protein 27) (SRP27)	HSPB1
P62805	0.421399010233581	0.421399010233581	10.4355391460335	0.000920655531961482	0.0364709651841541	0.263621981230118	TRUE	3	P62805	Histone H4	H4C1
H3BTL1	-0.39362814148551	-0.39362814148551	-10.3879006662904	0.000935152953439849	0.0364709651841541	0.246721036599983	TRUE	3	H3BTL1	Microtubule associated protein 1 light chain 3 beta (Microtubule-associated protein 1 light chain 3 beta, isoform CRA_f)	MAP1LC3B
Q14247	-0.486160988752317	-0.486160988752317	-10.0433452158147	0.00104919625629087	0.038728133340177	0.121579427498706	TRUE	3	Q14247	Src substrate cortactin (Amplaxin) (Oncogene EMS1)	CTTN
Q8IXI1	0.618984447061961	0.618984447061961	9.86469044213483	0.00111534861919697	0.038728133340177	0.0546196525630913	TRUE	3	Q8IXI1	Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2)	RHOT2
M0R116	-0.537784862094837	-0.537784862094837	-9.831516874979	0.00112821330790973	0.038728133340177	0.0420253980962206	TRUE	3	M0R116	Sodium/potassium-transporting ATPase subunit alpha	ATP1A3
Q9BVA1	-0.362488504590141	-0.362488504590141	-9.83136249136195	0.00112827361953807	0.038728133340177	0.0419666675959158	TRUE	3	Q9BVA1	Tubulin beta-2B chain	TUBB2B
J3KSG1	0.393684523834307	0.393684523834307	9.74098122722242	0.00116430036493172	0.038728133340177	0.0073930007648082	TRUE	3	J3KSG1	Potassium channel tetramerization domain containing 1	KCTD1
G3V1A1	0.353813793158455	0.353813793158455	9.65016977967905	0.00120199119278504	0.038728133340177	-0.0277331409911312	TRUE	3	G3V1A1	Ribosomal protein L8	RPL8
P19022	-0.347587767959045	-0.347587767959045	-9.60918035248642	0.00121951377658191	0.038728133340177	-0.0437169924654794	TRUE	3	P19022	Cadherin-2 (CDw325) (Neural cadherin) (N-cadherin) (CD antigen CD325)	CDH2
H0YFA4	-0.451279581226894	-0.451279581226894	-9.59604786561443	0.00122519668918057	0.038728133340177	-0.048855131263374	TRUE	3	H0YFA4	Cysteine-rich protein 2	CRIP2
B1AHB1	0.595845275168784	0.595845275168783	9.48413401017598	0.0012750246094218	0.038728133340177	-0.0929822211176443	TRUE	3	B1AHB1	DNA replication licensing factor MCM5 (EC 3.6.4.12)	MCM5
Q13509	-0.30476533926549	-0.30476533926549	-9.43159106686964	0.00129931091852591	0.038728133340177	-0.113912005156108	TRUE	3	Q13509	Tubulin beta-3 chain (Tubulin beta-4 chain) (Tubulin beta-III)	TUBB3
Q9UQE7	0.365475499581211	0.365475499581211	9.38259526740683	0.00132249208902794	0.038728133340177	-0.133552643851969	TRUE	3	Q9UQE7	Structural maintenance of chromosomes protein 3 (SMC protein 3) (SMC-3) (Basement membrane-associated chondroitin proteoglycan) (Bamacan) (Chondroitin sulfate proteoglycan 6) (Chromosome-associated polypeptide) (hCAP)	SMC3
O43504	0.43444804799458	0.43444804799458	9.35496665995485	0.00133579683365784	0.038728133340177	-0.144681042274174	TRUE	3	O43504	Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein) (HBV X-interacting protein) (HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5)	LAMTOR5
P61247	0.328466698896457	0.328466698896457	9.33217290221719	0.00134690215339973	0.038728133340177	-0.153891028229457	TRUE	3	P61247	Small ribosomal subunit protein eS1 (40S ribosomal protein S3a) (v-fos transformation effector protein) (Fte-1)	RPS3A
P22033	-0.319612071139495	-0.319612071139495	-9.23578676732859	0.00139518607346885	0.038728133340177	-0.193128906940103	TRUE	3	P22033	Methylmalonyl-CoA mutase, mitochondrial (MCM) (EC 5.4.99.2) (Methylmalonyl-CoA isomerase)	MMUT
P62244	0.409399910587691	0.409399910587691	9.20956375124239	0.00140870310169321	0.038728133340177	-0.203886589670781	TRUE	3	P62244	Small ribosomal subunit protein uS8 (40S ribosomal protein S15a)	RPS15A
Q99816	-0.428360408246858	-0.428360408246858	-9.17435658494875	0.00142711504447012	0.038728133340177	-0.21838596745701	TRUE	3	Q99816	Tumor susceptibility gene 101 protein (ESCRT-I complex subunit TSG101)	TSG101
Q9HC35	-0.314480010292889	-0.314480010292889	-9.17276936289031	0.00142795231020479	0.038728133340177	-0.21904115294701	TRUE	3	Q9HC35	Echinoderm microtubule-associated protein-like 4 (EMAP-4) (Restrictedly overexpressed proliferation-associated protein) (Ropp 120)	EML4
P62318	0.57899360686383	0.57899360686383	9.13181496270918	0.00144977427987683	0.038728133340177	-0.235992159429244	TRUE	3	P62318	Small nuclear ribonucleoprotein Sm D3 (Sm-D3) (snRNP core protein D3)	SNRPD3
P31150	-0.353182393921106	-0.353182393921106	-9.0759155504066	0.00148025098580499	0.038728133340177	-0.259271262753667	TRUE	3	P31150	Rab GDP dissociation inhibitor alpha (Rab GDI alpha) (Guanosine diphosphate dissociation inhibitor 1) (GDI-1) (Oligophrenin-2) (Protein XAP-4)	GDI1
A6NNK5	-0.309817525110376	-0.309817525110376	-9.05840415892584	0.00148996613239334	0.038728133340177	-0.266597855457	TRUE	3	A6NNK5	Tumor protein p53 binding protein 1	TP53BP1
P23634	-0.472565002887959	-0.472565002887959	-9.01713231492752	0.00151318713905453	0.038728133340177	-0.283930275170864	TRUE	3	P23634	Plasma membrane calcium-transporting ATPase 4 (PMCA4) (EC 7.2.2.10) (Matrix-remodeling-associated protein 1) (Plasma membrane calcium ATPase isoform 4) (Plasma membrane calcium pump isoform 4)	ATP2B4
O43324	0.324081501298901	0.324081501298901	8.93833844554466	0.00155881615959366	0.0388490649319132	-0.317274735233238	TRUE	3	O43324	Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18)	EEF1E1
P61981	-0.466679079658999	-0.466679079658999	-8.89515771631028	0.00158456708082071	0.0388490649319132	-0.335691264476282	TRUE	3	P61981	14-3-3 protein gamma (Protein kinase C inhibitor protein 1) (KCIP-1) [Cleaved into: 14-3-3 protein gamma, N-terminally processed]	YWHAG
Q15555	-0.462236520738517	-0.462236520738517	-8.84767680189599	0.00161351198432316	0.0388490649319132	-0.356059959349963	TRUE	3	Q15555	Microtubule-associated protein RP/EB family member 2 (APC-binding protein EB2) (End-binding protein 2) (EB2)	MAPRE2
K7ERP4	-0.935951896369164	-0.935951896369165	-14.9596862886933	0.00162941750338963	0.0388490649319132	-0.0754019727376054	TRUE	2	K7ERP4	Glutathione peroxidase	GPX4
J3QLE5	0.310776031974405	0.310776031974405	8.6878993819391	0.00171600357088304	0.0388490649319132	-0.425525482318303	TRUE	3	J3QLE5	Small nuclear ribonucleoprotein-associated protein N (Sm protein N)	SNRPN
Q9UKY7	-0.379042867981904	-0.379042867981904	-8.65397114241372	0.00173882688647312	0.0388490649319132	-0.440462242196634	TRUE	3	Q9UKY7	Protein CDV3 homolog	CDV3
P51571	0.367481988375358	0.367481988375358	8.57999326376871	0.00178994878859694	0.0388490649319132	-0.473260386961307	TRUE	3	P51571	Translocon-associated protein subunit delta (TRAP-delta) (Signal sequence receptor subunit delta) (SSR-delta)	SSR4
Q9Y678	-0.461084821413309	-0.461084821413309	-8.57096912648149	0.00179631525902844	0.0388490649319132	-0.477282957514544	TRUE	3	Q9Y678	Coatomer subunit gamma-1 (Gamma-1-coat protein) (Gamma-1-COP)	COPG1
Q9Y2Z0	-0.295666007433088	-0.295666007433088	-8.5588777801623	0.00180489093517236	0.0388490649319132	-0.482680203074932	TRUE	3	Q9Y2Z0	Protein SGT1 homolog (Protein 40-6-3) (Sgt1) (Suppressor of G2 allele of SKP1 homolog)	SUGT1
C9JZD1	-0.298257042420152	-0.298257042420152	-8.55776171459593	0.00180568512212019	0.0388490649319132	-0.483178814628382	TRUE	3	C9JZD1	Actin related protein 2/3 complex subunit 3	ARPC3
A0A1B0GWD1	-0.302924554304502	-0.302924554304502	-8.52417317014254	0.0018297963571473	0.0388490649319132	-0.498218919232614	TRUE	3	A0A1B0GWD1	Doublecortin	DCX
O75368	-0.283723907173953	-0.283723907173953	-8.52386998561156	0.0018300158579104	0.0388490649319132	-0.498354979278288	TRUE	3	O75368	Adapter SH3BGRL (SH3 domain-binding glutamic acid-rich-like protein 1)	SH3BGRL
P46821	-0.284469441825698	-0.284469441825698	-8.49540016299609	0.00185077792809102	0.0388490649319132	-0.51115551714087	TRUE	3	P46821	Microtubule-associated protein 1B (MAP-1B) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	MAP1B
O75832	0.280005210872608	0.280005210872608	8.45458511032727	0.00188106950215881	0.0388490649319132	-0.529590404082313	TRUE	3	O75832	26S proteasome non-ATPase regulatory subunit 10 (26S proteasome regulatory subunit p28) (Gankyrin) (p28(GANK))	PSMD10
Q8WUM0	0.274218969708368	0.274218969708368	8.42937973045612	0.0019000919936513	0.0388490649319132	-0.541024448259304	TRUE	3	Q8WUM0	Nuclear pore complex protein Nup133 (133 kDa nucleoporin) (Nucleoporin Nup133)	NUP133
P98160	0.452691839381935	0.452691839381935	8.40190452873092	0.00192110760652318	0.0388490649319132	-0.553531528754403	TRUE	3	P98160	Basement membrane-specific heparan sulfate proteoglycan core protein (HSPG) (Perlecan) (PLC) [Cleaved into: Endorepellin; LG3 peptide]	HSPG2
Q9BX68	-0.381095630717842	-0.381095630717842	-8.36484781737784	0.00194992344166966	0.0389509097250599	-0.570472300736192	TRUE	3	Q9BX68	Adenosine 5'-monophosphoramidase HINT2 (EC 3.9.1.-) (HINT-3) (HIT-17kDa) (Histidine triad nucleotide-binding protein 2, mitochondrial) (HINT-2) (PKCI-1-related HIT protein)	HINT2
J3KR97	0.283684263181829	0.283684263181829	8.32245672989227	0.00198356609146724	0.0390638575873527	-0.589953911564256	TRUE	3	J3KR97	Tubulin-specific chaperone D	TBCD
P04083	0.437222297148872	0.437222297148872	8.29804612674415	0.00200327474806937	0.0390638575873527	-0.601222066018695	TRUE	3	P04083	Annexin A1 (Annexin I) (Annexin-1) (Calpactin II) (Calpactin-2) (Chromobindin-9) (Lipocortin I) (Phospholipase A2 inhibitory protein) (p35) [Cleaved into: Annexin Ac2-26]	ANXA1
P07355	0.429632080892894	0.429632080892894	8.26850431209568	0.00202746108742953	0.0390703677789362	-0.614907822010808	TRUE	3	P07355	Annexin A2 (Annexin II) (Annexin-2) (Calpactin I heavy chain) (Calpactin-1 heavy chain) (Chromobindin-8) (Lipocortin II) (Placental anticoagulant protein IV) (PAP-IV) (Protein I) (p36)	ANXA2
P29966	-0.334657971507566	-0.334657971507566	-8.1888967799432	0.00209451428322604	0.0394196749289832	-0.652056775522626	TRUE	3	P29966	Myristoylated alanine-rich C-kinase substrate (MARCKS) (Protein kinase C substrate, 80 kDa protein, light chain) (80K-L protein) (PKCSL)	MARCKS
Q7L099	-0.450972875311003	-0.450972875311003	-8.18533897786224	0.0020975764638645	0.0394196749289832	-0.653726269036028	TRUE	3	Q7L099	Protein RUFY3 (RUN and FYVE domain-containing protein 3) (Rap2-interacting protein x) (RIPx) (Single axon-regulated protein) (Singar)	RUFY3
P09874	0.26344282618959	0.26344282618959	8.16202461552248	0.00211778473366943	0.0394196749289832	-0.664686202499746	TRUE	3	P09874	Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]	PARP1
H0Y993	0.25587489115128	0.255874891151279	8.06897865169541	0.00220094702490684	0.0396589647693358	-0.708769687056148	TRUE	3	H0Y993	DEK oncogene (DNA binding), isoform CRA_b (DEK proto-oncogene)	DEK
Q9H857	0.630045704615031	0.630045704615031	8.06111367262792	0.0022081656612395	0.0396589647693358	-0.712521332682626	TRUE	3	Q9H857	5'-nucleotidase domain-containing protein 2 (EC 3.1.3.-)	NT5DC2
P63173	0.321319451818911	0.321319451818911	8.04178168308236	0.00222603746707674	0.0396589647693358	-0.72175975044358	TRUE	3	P63173	Large ribosomal subunit protein eL38 (60S ribosomal protein L38)	RPL38
D6R9P3	0.262928313005974	0.262928313005974	8.04022169390923	0.00222748764272215	0.0396589647693358	-0.722506293538777	TRUE	3	D6R9P3	Heterogeneous nuclear ribonucleoprotein A/B	HNRNPAB
A0A669KB77	-0.316455955004556	-0.316455955004556	-7.98294327320651	0.00228157693383953	0.0401519170077966	-0.750026576447232	TRUE	3	A0A669KB77	Microtubule-associated protein	MAP2
O95202	-0.272418675477754	-0.272418675477754	-7.93898386174173	0.00232422683120628	0.0401519170077966	-0.771292881170977	TRUE	3	O95202	Mitochondrial proton/calcium exchanger protein (Electroneutral mitochondrial K(+)/H(+)exchanger) (KHE) (Leucine zipper-EF-hand-containing transmembrane protein 1)	LETM1
Q9NS69	0.289342606992595	0.289342606992595	7.90261735365638	0.00236027953385393	0.0401519170077966	-0.788982232011455	TRUE	3	Q9NS69	Mitochondrial import receptor subunit TOM22 homolog (hTom22) (1C9-2) (Translocase of outer membrane 22 kDa subunit homolog)	TOMM22
P51858	-0.260579077450027	-0.260579077450027	-7.88270975328816	0.00238031694905833	0.0401519170077966	-0.798702830871769	TRUE	3	P51858	Hepatoma-derived growth factor (HDGF) (High mobility group protein 1-like 2) (HMG-1L2)	HDGF
Q7L1Q6	0.293947504448015	0.293947504448015	7.86346816809919	0.00239989016283255	0.0401519170077966	-0.808123343138513	TRUE	3	Q7L1Q6	eIF5-mimic protein 2 (Basic leucine zipper and W2 domain-containing protein 1) (Protein Orf)	BZW1
A0A1C7CYX9	-0.27525111581685	-0.27525111581685	-7.81348119895504	0.00245170437137573	0.0401519170077966	-0.832712611661334	TRUE	3	A0A1C7CYX9	Dihydropyrimidinase-related protein 2	DPYSL2
Q5T6W2	-0.330157659718962	-0.330157659718962	-7.7747975427163	0.00249278225303282	0.0401519170077966	-0.851857526905999	TRUE	3	Q5T6W2	Heterogeneous nuclear ribonucleoprotein K	HNRNPK
Q13153	-0.316302742718895	-0.316302742718895	-7.74570595491128	0.00252425258974464	0.0401519170077966	-0.866322385507232	TRUE	3	Q13153	Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)	PAK1
H3BQ50	-0.280893328341365	-0.280893328341365	-7.73625321873159	0.00253458693458311	0.0401519170077966	-0.87103492879524	TRUE	3	H3BQ50	GABA type A receptor associated protein like 2	GABARAPL2
Q5SQI0	-0.496040806425353	-0.496040806425353	-7.73403114147438	0.00253702406204821	0.0401519170077966	-0.872143608178295	TRUE	3	Q5SQI0	Alpha-tubulin N-acetyltransferase 1 (Alpha-TAT) (Alpha-TAT1) (TAT) (EC 2.3.1.108) (Acetyltransferase mec-17 homolog)	ATAT1
P62249	0.290008667272915	0.290008667272915	7.72893449372053	0.00254262522678584	0.0401519170077966	-0.874687802762007	TRUE	3	P62249	Small ribosomal subunit protein uS9 (40S ribosomal protein S16)	RPS16
P62851	0.35373887653164	0.35373887653164	7.70414162443249	0.00257009782208982	0.0401519170077966	-0.887089674144605	TRUE	3	P62851	Small ribosomal subunit protein eS25 (40S ribosomal protein S25)	RPS25
O00567	0.309591356836426	0.309591356836426	7.69284620617953	0.00258273927280047	0.0401519170077966	-0.892753939461686	TRUE	3	O00567	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56
Q07960	0.312121758374148	0.312121758374148	7.64766877407381	0.0026340980879329	0.0401519170077966	-0.915497480518969	TRUE	3	Q07960	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	ARHGAP1
O43399	-0.296955599994192	-0.296955599994192	-7.63647859707732	0.00264701959093223	0.0401519170077966	-0.921152925493206	TRUE	3	O43399	Tumor protein D54 (hD54) (Tumor protein D52-like 2)	TPD52L2
E9PPJ0	-0.291654613688613	-0.291654613688613	-7.61335253934671	0.00267398012000899	0.0401519170077966	-0.932868528047561	TRUE	3	E9PPJ0	Splicing factor 3b subunit 2	SF3B2
B1AKR6	-0.319530276271232	-0.319530276271232	-7.59691167039787	0.0026933596250879	0.0401519170077966	-0.941220329261529	TRUE	3	B1AKR6	Dynein light chain roadblock-type 1	DYNLRB1
P62942	-0.30065110747178	-0.30065110747178	-7.59434202791725	0.00269640468306327	0.0401519170077966	-0.942527407101375	TRUE	3	P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A (PPIase FKBP1A) (EC 5.2.1.8) (12 kDa FK506-binding protein) (12 kDa FKBP) (FKBP-12) (Calstabin-1) (FK506-binding protein 1A) (FKBP-1A) (Immunophilin FKBP12) (Rotamase)	FKBP1A
M0QZC5	0.391079545030161	0.391079545030161	7.55430306966303	0.00274442179668583	0.0404987648916342	-0.962954146623999	TRUE	3	M0QZC5	Ribosomal protein S11	RPS11
Q71UI9	0.29208066957175	0.29208066957175	7.50194612818218	0.00280886416999737	0.0406023624543356	-0.989837756231369	TRUE	3	Q71UI9	Histone H2A.V (H2A.F/Z) (H2A.Z variant histone 2)	H2AZ2
